Catálogo de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idGrupo,DscGrupo,idProducto,idProductoAlterno,IdProductoProveedor,IdProductosClasificacion,Dsc,DscClasificacion,DscClasificacionA,SustanciaActiva,Ubicacion,Caracteristicas,ClkUMedida,ClkUMedidacontenido,PrecioCompra,PrecioLista,DescuentoContado,DescuentoCredito,DescuentoEspecialContado,DescuentoEspecialCredito,PrecioVenta,PrecioVenta2,PrecioVenta3,Notas,DescuentoMayoreo,CantidadMayoreo,Orden,IdRestaurante,IdProductoAlterno1,IndR,Status,Moneda,NombreImpresora_PV1,NombreImpresora_PV2,NombreImpresora_PV3,c_ClaveProdServ,c_ClaveUnidad,TasaIVA,ObjetoImpuesto
2,2.-A - B,30,30,30,1,ALMEJA,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,30,1,30,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,44,44,44,1,ANCESTRAL MEDIANO,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,30,1,44,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,45,45,45,1,ANCESTRAL GRANDE,1.-PAN,1.-PAN,,,,1,1,0,15,0,0,0,0,15,15,15,0,0,0,30,1,45,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,31,31,31,1,BANDERILLA,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,31,1,31,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,32,32,32,1,BARQUILLO DE CHANTILLY,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,32,1,32,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,33,33,33,1,BARQUILLO DE CREMA PASTELERA,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,33,1,33,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,34,34,34,1,BARRA DE MANTECA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,34,1,34,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,43,43,43,1,BARRITA DE PIÑA O FRESA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,34,1,43,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,35,35,35,1,BERLINES DE CHANTILLY,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,35,1,35,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,36,36,36,1,BERLINES DE CREMA PASTELERA,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,36,1,36,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,37,37,37,1,BESO CON RELLENO DE DURAZNO,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,37,1,37,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,38,38,38,1,BIGOTE DE CHOCOLATE,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,38,1,38,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,39,39,39,1,BIZQUET,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,39,1,39,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,40,40,40,1,BOLLO DE QUESO PHILADELPHIA,1.-PAN,1.-PAN,,,,1,1,0,11,0,0,0,0,11,11,11,0,0,0,40,1,40,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,41,41,41,1,BROCA,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,41,1,41,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
2,2.-A - B,42,42,42,1,BUDIN DE HIGO CON COCO,1.-PAN,1.-PAN,,,,1,1,0,17,0,0,0,0,17,17,17,0,0,0,42,1,42,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
